	partner_key	ab_slot1_variant	event_count	freq
0	Partner A	Control	1	114641
1	Partner A	Control	2	41238
2	Partner A	Control	3	25485
3	Partner A	Control	4	17857
4	Partner A	Control	5	13168
5	Partner A	Control	6	10366
6	Partner A	Control	7	8477
7	Partner A	Control	8	6948
8	Partner A	Control	9	5715
9	Partner A	Control	10	4923
10	Partner A	Control	11	4335
11	Partner A	Control	12	3806
12	Partner A	Control	13	3280
13	Partner A	Control	14	2917
14	Partner A	Control	15	2624
15	Partner A	Control	16	2427
16	Partner A	Control	17	2232
17	Partner A	Control	18	1928
18	Partner A	Control	19	1757
19	Partner A	Control	20	1545
20	Partner A	Control	21	1414
21	Partner A	Control	22	1291
22	Partner A	Control	23	1176
23	Partner A	Control	24	1042
24	Partner A	Control	25	1047
25	Partner A	Control	26	924
26	Partner A	Control	27	923
27	Partner A	Control	28	766
28	Partner A	Control	29	706
29	Partner A	Control	30	663
30	Partner A	Control	31	639
31	Partner A	Control	32	533
32	Partner A	Control	33	581
33	Partner A	Control	34	511
34	Partner A	Control	35	471
35	Partner A	Control	36	409
36	Partner A	Control	37	393
37	Partner A	Control	38	384
38	Partner A	Control	39	347
39	Partner A	Control	40	368
40	Partner A	Control	41	322
41	Partner A	Control	42	294
42	Partner A	Control	43	263
43	Partner A	Control	44	265
44	Partner A	Control	45	264
45	Partner A	Control	46	246
46	Partner A	Control	47	210
47	Partner A	Control	48	222
48	Partner A	Control	49	207
49	Partner A	Control	50	202
50	Partner A	Control	51	164
51	Partner A	Control	52	173
52	Partner A	Control	53	149
53	Partner A	Control	54	150
54	Partner A	Control	55	130
55	Partner A	Control	56	144
56	Partner A	Control	57	121
57	Partner A	Control	58	127
58	Partner A	Control	59	125
59	Partner A	Control	60	100
60	Partner A	Control	61	101
61	Partner A	Control	62	107
62	Partner A	Control	63	92
63	Partner A	Control	64	88
64	Partner A	Control	65	90
65	Partner A	Control	66	84
66	Partner A	Control	67	70
67	Partner A	Control	68	84
68	Partner A	Control	69	77
69	Partner A	Control	70	70
70	Partner A	Control	71	67
71	Partner A	Control	72	62
72	Partner A	Control	73	58
73	Partner A	Control	74	59
74	Partner A	Control	75	47
75	Partner A	Control	76	50
76	Partner A	Control	77	48
77	Partner A	Control	78	49
78	Partner A	Control	79	53
79	Partner A	Control	80	42
80	Partner A	Control	81	44
81	Partner A	Control	82	42
82	Partner A	Control	83	26
83	Partner A	Control	84	55
84	Partner A	Control	85	29
85	Partner A	Control	86	40
86	Partner A	Control	87	27
87	Partner A	Control	88	33
88	Partner A	Control	89	19
89	Partner A	Control	90	33
90	Partner A	Control	91	29
91	Partner A	Control	92	26
92	Partner A	Control	93	21
93	Partner A	Control	94	26
94	Partner A	Control	95	22
95	Partner A	Control	96	21
96	Partner A	Control	97	19
97	Partner A	Control	98	17
98	Partner A	Control	99	18
99	Partner A	Control	100	20
100	Partner A	Control	101	17
101	Partner A	Control	102	10
102	Partner A	Control	103	16
103	Partner A	Control	104	15
104	Partner A	Control	105	13
105	Partner A	Control	106	11
106	Partner A	Control	107	15
107	Partner A	Control	108	15
108	Partner A	Control	109	12
109	Partner A	Control	110	13
110	Partner A	Control	111	15
111	Partner A	Control	112	12
112	Partner A	Control	113	16
113	Partner A	Control	114	3
114	Partner A	Control	115	7
115	Partner A	Control	116	18
116	Partner A	Control	117	10
117	Partner A	Control	118	10
118	Partner A	Control	119	12
119	Partner A	Control	120	11
120	Partner A	Control	121	11
121	Partner A	Control	122	7
122	Partner A	Control	123	8
123	Partner A	Control	124	10
124	Partner A	Control	125	8
125	Partner A	Control	126	10
126	Partner A	Control	127	10
127	Partner A	Control	128	9
128	Partner A	Control	129	9
129	Partner A	Control	130	11
130	Partner A	Control	131	11
131	Partner A	Control	132	6
132	Partner A	Control	133	7
133	Partner A	Control	134	7
134	Partner A	Control	135	4
135	Partner A	Control	136	5
136	Partner A	Control	137	3
137	Partner A	Control	138	3
138	Partner A	Control	139	6
139	Partner A	Control	140	5
140	Partner A	Control	141	8
141	Partner A	Control	142	3
142	Partner A	Control	143	2
143	Partner A	Control	144	5
144	Partner A	Control	145	7
145	Partner A	Control	146	3
146	Partner A	Control	147	2
147	Partner A	Control	148	1
148	Partner A	Control	149	7
149	Partner A	Control	150	2
150	Partner A	Control	151	8
151	Partner A	Control	152	9
152	Partner A	Control	153	6
153	Partner A	Control	154	2
154	Partner A	Control	155	2
155	Partner A	Control	156	5
156	Partner A	Control	159	1
157	Partner A	Control	160	1
158	Partner A	Control	161	4
159	Partner A	Control	162	5
160	Partner A	Control	163	4
161	Partner A	Control	164	2
162	Partner A	Control	165	4
163	Partner A	Control	166	2
164	Partner A	Control	167	2
165	Partner A	Control	168	1
166	Partner A	Control	169	1
167	Partner A	Control	170	3
168	Partner A	Control	171	5
169	Partner A	Control	172	1
170	Partner A	Control	173	3
171	Partner A	Control	174	1
172	Partner A	Control	175	4
173	Partner A	Control	176	1
174	Partner A	Control	177	10
175	Partner A	Control	178	3
176	Partner A	Control	179	1
177	Partner A	Control	180	4
178	Partner A	Control	181	1
179	Partner A	Control	182	1
180	Partner A	Control	183	1
181	Partner A	Control	184	1
182	Partner A	Control	185	3
183	Partner A	Control	186	2
184	Partner A	Control	187	2
185	Partner A	Control	188	3
186	Partner A	Control	190	2
187	Partner A	Control	191	3
188	Partner A	Control	193	3
189	Partner A	Control	194	2
190	Partner A	Control	195	1
191	Partner A	Control	196	3
192	Partner A	Control	199	3
193	Partner A	Control	201	2
194	Partner A	Control	202	2
195	Partner A	Control	204	2
196	Partner A	Control	206	2
197	Partner A	Control	207	1
198	Partner A	Control	208	2
199	Partner A	Control	211	1
200	Partner A	Control	213	1
201	Partner A	Control	214	2
202	Partner A	Control	216	1
203	Partner A	Control	217	1
204	Partner A	Control	221	2
205	Partner A	Control	223	1
206	Partner A	Control	226	1
207	Partner A	Control	227	1
208	Partner A	Control	228	1
209	Partner A	Control	231	2
210	Partner A	Control	235	1
211	Partner A	Control	236	1
212	Partner A	Control	246	1
213	Partner A	Control	248	1
214	Partner A	Control	250	1
215	Partner A	Control	251	1
216	Partner A	Control	253	1
217	Partner A	Control	258	1
218	Partner A	Control	260	1
219	Partner A	Control	261	2
220	Partner A	Control	263	1
221	Partner A	Control	267	1
222	Partner A	Control	272	1
223	Partner A	Control	273	1
224	Partner A	Control	284	1
225	Partner A	Control	285	1
226	Partner A	Control	296	1
227	Partner A	Control	305	1
228	Partner A	Control	310	1
229	Partner A	Control	312	1
230	Partner A	Control	320	1
231	Partner A	Control	339	1
232	Partner A	Control	360	1
233	Partner A	Control	369	1
234	Partner A	Control	384	1
235	Partner A	Control	413	1
236	Partner A	Control	433	1
237	Partner A	Control	435	1
238	Partner A	Control	454	1
239	Partner A	Control	510	1
240	Partner A	Control	574	1
241	Partner A	Test	1	113014
242	Partner A	Test	2	40418
243	Partner A	Test	3	24977
244	Partner A	Test	4	17196
245	Partner A	Test	5	12880
246	Partner A	Test	6	10584
247	Partner A	Test	7	8772
248	Partner A	Test	8	7255
249	Partner A	Test	9	6227
250	Partner A	Test	10	5337
251	Partner A	Test	11	4541
252	Partner A	Test	12	4092
253	Partner A	Test	13	3526
254	Partner A	Test	14	3149
255	Partner A	Test	15	2777
256	Partner A	Test	16	2587
257	Partner A	Test	17	2288
258	Partner A	Test	18	2079
259	Partner A	Test	19	1814
260	Partner A	Test	20	1709
261	Partner A	Test	21	1405
262	Partner A	Test	22	1400
263	Partner A	Test	23	1319
264	Partner A	Test	24	1122
265	Partner A	Test	25	1046
266	Partner A	Test	26	1025
267	Partner A	Test	27	958
268	Partner A	Test	28	831
269	Partner A	Test	29	786
270	Partner A	Test	30	756
271	Partner A	Test	31	702
272	Partner A	Test	32	687
273	Partner A	Test	33	596
274	Partner A	Test	34	537
275	Partner A	Test	35	508
276	Partner A	Test	36	515
277	Partner A	Test	37	473
278	Partner A	Test	38	417
279	Partner A	Test	39	394
280	Partner A	Test	40	413
281	Partner A	Test	41	357
282	Partner A	Test	42	310
283	Partner A	Test	43	322
284	Partner A	Test	44	274
285	Partner A	Test	45	276
286	Partner A	Test	46	276
287	Partner A	Test	47	261
288	Partner A	Test	48	234
289	Partner A	Test	49	214
290	Partner A	Test	50	233
291	Partner A	Test	51	184
292	Partner A	Test	52	176
293	Partner A	Test	53	172
294	Partner A	Test	54	140
295	Partner A	Test	55	152
296	Partner A	Test	56	143
297	Partner A	Test	57	141
298	Partner A	Test	58	113
299	Partner A	Test	59	110
300	Partner A	Test	60	93
301	Partner A	Test	61	121
302	Partner A	Test	62	97
303	Partner A	Test	63	123
304	Partner A	Test	64	79
305	Partner A	Test	65	103
306	Partner A	Test	66	104
307	Partner A	Test	67	87
308	Partner A	Test	68	76
309	Partner A	Test	69	83
310	Partner A	Test	70	80
311	Partner A	Test	71	64
312	Partner A	Test	72	65
313	Partner A	Test	73	52
314	Partner A	Test	74	56
315	Partner A	Test	75	55
316	Partner A	Test	76	51
317	Partner A	Test	77	49
318	Partner A	Test	78	57
319	Partner A	Test	79	36
320	Partner A	Test	80	46
321	Partner A	Test	81	49
322	Partner A	Test	82	47
323	Partner A	Test	83	41
324	Partner A	Test	84	53
325	Partner A	Test	85	31
326	Partner A	Test	86	40
327	Partner A	Test	87	42
328	Partner A	Test	88	34
329	Partner A	Test	89	35
330	Partner A	Test	90	24
331	Partner A	Test	91	30
332	Partner A	Test	92	27
333	Partner A	Test	93	24
334	Partner A	Test	94	28
335	Partner A	Test	95	27
336	Partner A	Test	96	24
337	Partner A	Test	97	21
338	Partner A	Test	98	21
339	Partner A	Test	99	20
340	Partner A	Test	100	23
341	Partner A	Test	101	8
342	Partner A	Test	102	24
343	Partner A	Test	103	19
344	Partner A	Test	104	17
345	Partner A	Test	105	20
346	Partner A	Test	106	14
347	Partner A	Test	107	11
348	Partner A	Test	108	23
349	Partner A	Test	109	17
350	Partner A	Test	110	12
351	Partner A	Test	111	17
352	Partner A	Test	112	11
353	Partner A	Test	113	18
354	Partner A	Test	114	7
355	Partner A	Test	115	9
356	Partner A	Test	116	14
357	Partner A	Test	117	10
358	Partner A	Test	118	15
359	Partner A	Test	119	10
360	Partner A	Test	120	12
361	Partner A	Test	121	6
362	Partner A	Test	122	7
363	Partner A	Test	123	8
364	Partner A	Test	124	8
365	Partner A	Test	125	7
366	Partner A	Test	126	13
367	Partner A	Test	127	7
368	Partner A	Test	128	9
369	Partner A	Test	129	9
370	Partner A	Test	130	7
371	Partner A	Test	131	8
372	Partner A	Test	132	7
373	Partner A	Test	133	6
374	Partner A	Test	134	5
375	Partner A	Test	135	6
376	Partner A	Test	136	5
377	Partner A	Test	137	2
378	Partner A	Test	138	3
379	Partner A	Test	139	2
380	Partner A	Test	140	2
381	Partner A	Test	141	6
382	Partner A	Test	142	5
383	Partner A	Test	143	4
384	Partner A	Test	144	12
385	Partner A	Test	145	4
386	Partner A	Test	146	8
387	Partner A	Test	147	4
388	Partner A	Test	148	5
389	Partner A	Test	149	2
390	Partner A	Test	150	5
391	Partner A	Test	151	1
392	Partner A	Test	152	4
393	Partner A	Test	153	2
394	Partner A	Test	154	3
395	Partner A	Test	155	3
396	Partner A	Test	156	6
397	Partner A	Test	157	5
398	Partner A	Test	158	5
399	Partner A	Test	159	3
400	Partner A	Test	162	5
401	Partner A	Test	163	4
402	Partner A	Test	164	4
403	Partner A	Test	165	6
404	Partner A	Test	167	1
405	Partner A	Test	168	3
406	Partner A	Test	169	4
407	Partner A	Test	170	3
408	Partner A	Test	171	1
409	Partner A	Test	172	1
410	Partner A	Test	173	1
411	Partner A	Test	174	2
412	Partner A	Test	175	2
413	Partner A	Test	176	3
414	Partner A	Test	177	1
415	Partner A	Test	178	1
416	Partner A	Test	179	4
417	Partner A	Test	180	1
418	Partner A	Test	181	2
419	Partner A	Test	182	1
420	Partner A	Test	184	7
421	Partner A	Test	186	3
422	Partner A	Test	188	2
423	Partner A	Test	189	1
424	Partner A	Test	190	1
425	Partner A	Test	191	1
426	Partner A	Test	192	1
427	Partner A	Test	194	2
428	Partner A	Test	196	2
429	Partner A	Test	197	4
430	Partner A	Test	198	2
431	Partner A	Test	199	1
432	Partner A	Test	200	1
433	Partner A	Test	201	2
434	Partner A	Test	202	1
