"partner_key","domain_userid","product_domain","product_id","e1","e2","e3","e4","e5","e6"
Partner A,c1d5d898213a4ab9041fa14648c7241c12575ee9,Dresses,"34058",2018-04-12 07:36:40,2018-04-12 07:37:26,2018-04-12 07:36:49,,2018-04-12 07:37:38,2018-04-12 07:36:58
Partner A,dd83bc8b8acac14ddf40706cdce6dbf80047fb59,Dresses,"4531081",2018-04-14 20:27:31,2018-04-14 20:27:42,2018-04-14 20:27:40,,2018-04-14 20:27:45,2018-04-14 20:27:46
Partner A,e5b0faa17b4a1a310d27d97c114280a4946947d7,Dresses,"53165",2018-04-13 23:12:36,2018-04-13 23:12:46,2018-04-13 23:12:44,,2018-04-13 23:12:51,2018-04-13 23:12:55
Partner A,"5bd09c6c5ef3c26dcd4ff1f00763cb35e782d232",Dresses,"4531081",2018-04-12 07:37:37,,2018-04-12 07:37:47,,2018-04-12 07:37:56,2018-04-12 07:37:57
Partner A,"7303e2d5de40c6e32a4313e3d483d52b975b1030",Dresses,"93523",2018-04-12 07:37:45,2018-04-12 07:37:45,,,2018-04-12 07:37:47,
Partner A,f2178040a43887c28406c3b41d803c208f4fefb4,Dresses,"88356",2018-04-12 07:38:39,,2018-04-12 07:38:44,,2018-04-12 07:38:48,2018-04-12 07:38:49
Partner A,"932f02de2c0b57889ac52be8d7d5af46da38aac0",Dresses,"33554",2018-04-12 07:43:43,,,,2018-04-12 07:44:08,2018-04-12 07:44:09
Partner A,a5f061a296d717f2a807871b49de289a988cfc4b,Dresses,"88356",2018-04-12 07:41:46,,2018-04-12 07:41:54,,,2018-04-12 07:42:00
Partner A,"521a2a8414074d9541542d930efca9e409630731",Dresses,"67548",2018-04-12 07:09:29,2018-04-12 07:09:34,,,2018-04-12 07:09:40,2018-04-12 07:09:42
Partner A,c8d2fc28ffe0da1a0297017f415f8a6b4b09d091,Female Bottoms,"95268",2018-04-12 07:20:34,2018-04-12 07:20:37,2018-04-12 07:20:51,2018-04-12 07:20:54,2018-04-12 07:21:49,2018-04-12 07:20:58
Partner A,e9ac9845986074e34ce17a84ad51e18cb2da7a82,Female Bottoms,"95696",2018-04-12 07:16:09,2018-04-12 07:16:22,2018-04-12 07:16:29,,,2018-04-12 07:16:39
Partner A,"24e0c810dde468be881297d383fdcca3a2ed066e",Female Shoes,"4750087",2018-04-12 07:11:06,2018-04-12 07:11:13,,2018-04-12 07:11:36,2018-04-12 07:11:39,
Partner A,"7ec28e08cf22754acca64a6234c0277cb6bc675d",Female Shoes,"48225",2018-04-12 07:05:19,2018-04-12 07:03:59,2018-04-12 07:05:37,2018-04-12 07:04:50,2018-04-12 07:04:54,2018-04-12 07:04:56
Partner A,bece10aa8d5e18a4f8c63ad0ac5ff798ca907482,Female Shoes,"91137",2018-04-12 07:29:14,,2018-04-12 07:29:30,2018-04-12 07:29:34,2018-04-12 07:29:39,2018-04-12 07:29:41
Partner A,fe42dcaa7428b0332ca79619b815c670413cb394,Female Shoes,"57290",2018-04-12 07:13:25,2018-04-12 07:13:50,2018-04-12 07:13:38,2018-04-12 07:14:11,,
Partner A,"439d9fed4de5e1a230c3ad87a7456e3a1509fe51",Female Tops,"75398",2018-04-13 00:36:38,2018-04-13 00:36:45,2018-04-13 00:36:43,2018-04-13 00:36:46,2018-04-13 00:36:49,2018-04-13 00:36:49
Partner A,cc3e10063dec74f8553edcb78638853717113de7,Female Tops,"982883",2018-04-12 07:18:32,,,2018-04-12 07:18:57,2018-04-12 07:19:00,
Partner B,"35602761b133ef42143a90609811e15e9c63c62d",Male Shoes,X1AUU,2017-10-11 00:00:20,2017-10-11 00:00:01,,,,
